rowNum,Property_Unique_Number,Version_Number,Address,Price,Bed_Rooms,Property_Type,Property_Url,Agent_Name,Property_Status,Status_Date,Featured,Run_Date,Location
2456,128991920,1,"The Crescent, Belmont, Sutton, SM2",1450000,6,Detached,https://www.rightmove.co.uk/properties/128991920#/?channel=RES_BUY,"Winkworth, Cheam",Initial entry,2022-11-11,,2023-10-21,"Sutton, Surrey"
2457,128991920,2,"The Crescent, Belmont, Sutton, SM2",1350000,6,Detached,https://www.rightmove.co.uk/properties/128991920#/?channel=RES_BUY,"Winkworth, Cheam",Reduced,2022-11-21,,2023-10-21,"Sutton, Surrey"
2458,128991920,3,"The Crescent, Belmont, Sutton, SM2",1250000,6,Detached,https://www.rightmove.co.uk/properties/128991920#/?channel=RES_BUY,"Winkworth, Cheam",Reduced,2023-01-16,,2023-10-21,"Sutton, Surrey"
2459,128991920,4,"The Crescent, Belmont, Sutton, SM2",1175000,6,Detached,https://www.rightmove.co.uk/properties/128991920#/?channel=RES_BUY,"Winkworth, Cheam",Reduced,2023-06-30,,2023-10-21,"Sutton, Surrey"
2460,128991920,5,"The Crescent, Belmont, Sutton, SM2",1095000,6,Detached,https://www.rightmove.co.uk/properties/128991920#/?channel=RES_BUY,"Winkworth, Cheam",Reduced,2023-10-03,,2023-10-21,"Sutton, Surrey"
424,129044363,1,"Albury Drive, Pinner, HA5",1150000,6,Semi-Detached,https://www.rightmove.co.uk/properties/129044363#/?channel=RES_BUY,"Robsons, Pinner",Initial entry,2022-11-14,,2023-10-19,"Pinner, Middlesex"
425,129044363,2,"Albury Drive, Pinner, HA5",1150000,6,Semi-Detached,https://www.rightmove.co.uk/properties/129044363#/?channel=RES_BUY,"Robsons, Pinner",UNDER OFFER,2023-10-19,,2023-10-19,"Pinner, Middlesex"
3878,129045926,1,", West Street, Ewell Village, Surrey, KT17",625000,3,Detached,https://www.rightmove.co.uk/properties/129045926#/?channel=RES_BUY,"Greenfield & Company, Ewell",Initial entry,2022-11-14,,2023-10-21,"Sutton, Surrey"
3879,129045926,2,", West Street, Ewell Village, Surrey, KT17",580000,3,Detached,https://www.rightmove.co.uk/properties/129045926#/?channel=RES_BUY,"Greenfield & Company, Ewell",Reduced,2022-11-28,,2023-10-21,"Sutton, Surrey"
3880,129045926,3,", West Street, Ewell Village, Surrey, KT17",580000,3,Detached,https://www.rightmove.co.uk/properties/129045926#/?channel=RES_BUY,"Greenfield & Company, Ewell",UNDER OFFER,2023-10-21,,2023-10-21,"Sutton, Surrey"
2145,129075944,1,"Oxleay Road, Harrow, HA2",575000,3,Semi-Detached,https://www.rightmove.co.uk/properties/129075944#/?channel=RES_BUY,"Purplebricks, covering Harrow",Initial entry,2022-11-15,,2023-10-21,"Pinner, Middlesex"
2146,129075944,2,"Oxleay Road, Harrow, HA2",575000,3,Semi-Detached,https://www.rightmove.co.uk/properties/129075944#/?channel=RES_BUY,"Purplebricks, covering Harrow",SOLD STC,2023-10-21,,2023-10-21,"Pinner, Middlesex"
2718,129199202,1,"The Avenue, Worcester Park, Surrey, KT4",900000,4,House,https://www.rightmove.co.uk/properties/129199202#/?channel=RES_BUY,"Gascoigne-Pees, Worcester Park",Initial entry,2022-11-18,,2023-10-21,"Sutton, Surrey"
2719,129199202,2,"The Avenue, Worcester Park, Surrey, KT4",850000,4,House,https://www.rightmove.co.uk/properties/129199202#/?channel=RES_BUY,"Gascoigne-Pees, Worcester Park",Reduced,2022-12-26,,2023-10-21,"Sutton, Surrey"
2720,129199202,3,"The Avenue, Worcester Park, Surrey, KT4",850000,4,House,https://www.rightmove.co.uk/properties/129199202#/?channel=RES_BUY,"Gascoigne-Pees, Worcester Park",SOLD STC,2023-10-21,,2023-10-21,"Sutton, Surrey"
1148,129238346,1,"Warrender Way, Ruislip, HA4",900000,4,Detached,https://www.rightmove.co.uk/properties/129238346#/?channel=RES_BUY,"Purplebricks, covering Harrow",Initial entry,2022-11-18,,2023-10-21,"Pinner, Middlesex"
1149,129238346,2,"Warrender Way, Ruislip, HA4",850000,4,Detached,https://www.rightmove.co.uk/properties/129238346#/?channel=RES_BUY,"Purplebricks, covering Harrow",Reduced,2023-01-06,,2023-10-21,"Pinner, Middlesex"
1150,129238346,3,"Warrender Way, Ruislip, HA4",800000,4,Detached,https://www.rightmove.co.uk/properties/129238346#/?channel=RES_BUY,"Purplebricks, covering Harrow",Reduced,2023-07-18,,2023-10-21,"Pinner, Middlesex"
1151,129238346,4,"Warrender Way, Ruislip, HA4",800000,4,Detached,https://www.rightmove.co.uk/properties/129238346#/?channel=RES_BUY,"Purplebricks, covering Harrow",UNDER OFFER,2023-10-21,,2023-10-21,"Pinner, Middlesex"
3794,129259370,1,"Waverley Avenue, Sutton, SM1",700000,3,Semi-Detached,https://www.rightmove.co.uk/properties/129259370#/?channel=RES_BUY,"Goodfellows, Stonecot Hill",Initial entry,2022-11-19,,2023-10-21,"Sutton, Surrey"
3795,129259370,2,"Waverley Avenue, Sutton, SM1",650000,3,Semi-Detached,https://www.rightmove.co.uk/properties/129259370#/?channel=RES_BUY,"Goodfellows, Stonecot Hill",Reduced,2023-01-25,,2023-10-21,"Sutton, Surrey"
3796,129259370,3,"Waverley Avenue, Sutton, SM1",625000,3,Semi-Detached,https://www.rightmove.co.uk/properties/129259370#/?channel=RES_BUY,"Goodfellows, Stonecot Hill",Reduced,2023-03-11,,2023-10-21,"Sutton, Surrey"
3797,129259370,4,"Waverley Avenue, Sutton, SM1",600000,3,Semi-Detached,https://www.rightmove.co.uk/properties/129259370#/?channel=RES_BUY,"Goodfellows, Stonecot Hill",Reduced,2023-07-18,,2023-10-21,"Sutton, Surrey"
3798,129259370,5,"Waverley Avenue, Sutton, SM1",600000,3,Semi-Detached,https://www.rightmove.co.uk/properties/129259370#/?channel=RES_BUY,"Goodfellows, Stonecot Hill",SOLD STC,2023-10-21,,2023-10-21,"Sutton, Surrey"
200,129290795,1,"Rushdene Road, Pinner",799950,4,Semi-Detached,https://www.rightmove.co.uk/properties/129290795#/?channel=RES_BUY,"Andrew Pearce, Pinner",Initial entry,2022-11-21,,2023-10-19,"Pinner, Middlesex"
201,129290795,2,"Rushdene Road, Pinner",775000,4,Semi-Detached,https://www.rightmove.co.uk/properties/129290795#/?channel=RES_BUY,"Andrew Pearce, Pinner",Reduced,2022-12-09,,2023-10-19,"Pinner, Middlesex"
202,129290795,3,"Rushdene Road, Pinner",695000,4,Semi-Detached,https://www.rightmove.co.uk/properties/129290795#/?channel=RES_BUY,"Andrew Pearce, Pinner",Reduced,2023-02-06,,2023-10-19,"Pinner, Middlesex"
