Property_Unique_Number,Version_Number,Address,Price,Bed_Rooms,Property_Type,Property_Url,Agent_Name,Property_Status,Status_Date,Featured,Run_Date,Location
137067326,3,"Carlton Crescent, Cheam, Sutton, SM3",675000,4,Semi-Detached,https://www.rightmove.co.uk/properties/137067326#/?channel=RES_BUY,"Burn & Warne, Sutton",UNDER OFFER,2023-10-21,,2023-10-21,"Sutton, Surrey"
137071682,1,"Starling Close, Pinner",1500000,5,Detached,https://www.rightmove.co.uk/properties/137071682#/?channel=RES_BUY,"Andrew Pearce, Pinner",Initial entry,2023-07-07,,2023-10-19,"Pinner, Middlesex"
137072408,1,"Lewiston Close, Worcester Park, KT4",875000,4,Semi-Detached,https://www.rightmove.co.uk/properties/137072408#/?channel=RES_BUY,"Purplebricks, covering Kingston upon Thames",Initial entry,2023-07-07,,2023-10-21,"Sutton, Surrey"
137075837,1,"Brookdene Avenue, Oxhey, Watford",795000,3,Detached,https://www.rightmove.co.uk/properties/137075837#/?channel=RES_BUY,"Friends Estate Agents, Oxhey Village",Initial entry,2023-07-12,,2023-10-21,"Pinner, Middlesex"
137075837,2,"Brookdene Avenue, Oxhey, Watford",795000,3,Detached,https://www.rightmove.co.uk/properties/137075837#/?channel=RES_BUY,"Friends Estate Agents, Oxhey Village",SOLD STC,2023-10-21,,2023-10-21,"Pinner, Middlesex"
137082551,1,"Kingswood Drive, Sutton",640000,5,Town House,https://www.rightmove.co.uk/properties/137082551#/?channel=RES_BUY,"Butlers, Sutton",Initial entry,2023-07-08,,2023-10-21,"Sutton, Surrey"
137082551,2,"Kingswood Drive, Sutton",650000,5,Town House,https://www.rightmove.co.uk/properties/137082551#/?channel=RES_BUY,"Butlers, Sutton",Reduced,2023-07-31,,2023-10-21,"Sutton, Surrey"
137129000,1,"River Close, Ruislip",700000,4,Semi-Detached,https://www.rightmove.co.uk/properties/137129000#/?channel=RES_BUY,"Coopers, Ruislip",Initial entry,2023-07-10,,2023-10-21,"Pinner, Middlesex"
137129000,2,"River Close, Ruislip",700000,4,Semi-Detached,https://www.rightmove.co.uk/properties/137129000#/?channel=RES_BUY,"Coopers, Ruislip",SOLD STC,2023-10-21,,2023-10-21,"Pinner, Middlesex"
137134862,1,"Badgers Copse, Worcester Park",575000,3,End of Terrace,https://www.rightmove.co.uk/properties/137134862#/?channel=RES_BUY,"Hunters, Worcester Park",Initial entry,2023-07-10,,2023-10-21,"Sutton, Surrey"
137134862,2,"Badgers Copse, Worcester Park",575000,3,End of Terrace,https://www.rightmove.co.uk/properties/137134862#/?channel=RES_BUY,"Hunters, Worcester Park",SOLD STC,2023-10-21,,2023-10-21,"Sutton, Surrey"
137143442,1,"Knolls Close, Worcester Park, KT4",700000,4,Semi-Detached,https://www.rightmove.co.uk/properties/137143442#/?channel=RES_BUY,"Gascoigne-Pees, Worcester Park",Initial entry,2023-07-10,,2023-10-21,"Sutton, Surrey"
137143442,2,"Knolls Close, Worcester Park, KT4",700000,4,Semi-Detached,https://www.rightmove.co.uk/properties/137143442#/?channel=RES_BUY,"Gascoigne-Pees, Worcester Park",SOLD STC,2023-10-21,,2023-10-21,"Sutton, Surrey"
137150420,1,"Pinner Road, Northwood",650000,3,Semi-Detached,https://www.rightmove.co.uk/properties/137150420#/?channel=RES_BUY,"Coopers, Pinner",Initial entry,2023-07-10,,2023-10-21,"Pinner, Middlesex"
137156126,1,"Broomloan Lane, Sutton",610000,3,Semi-Detached,https://www.rightmove.co.uk/properties/137156126#/?channel=RES_BUY,"esale Ltd, Harrogate",Initial entry,2023-07-10,,2023-10-21,"Sutton, Surrey"
137156126,2,"Broomloan Lane, Sutton",610000,3,Semi-Detached,https://www.rightmove.co.uk/properties/137156126#/?channel=RES_BUY,"esale Ltd, Harrogate",SOLD STC,2023-10-21,,2023-10-21,"Sutton, Surrey"
137161814,1,"George V Avenue, Pinner",950000,5,Semi-Detached,https://www.rightmove.co.uk/properties/137161814#/?channel=RES_BUY,"Andrew Pearce, Pinner",Initial entry,2023-07-10,,2023-10-19,"Pinner, Middlesex"
137161814,2,"George V Avenue, Pinner",900000,5,Semi-Detached,https://www.rightmove.co.uk/properties/137161814#/?channel=RES_BUY,"Andrew Pearce, Pinner",Reduced,2023-07-25,,2023-10-19,"Pinner, Middlesex"
137161814,3,"George V Avenue, Pinner",850000,5,Semi-Detached,https://www.rightmove.co.uk/properties/137161814#/?channel=RES_BUY,"Andrew Pearce, Pinner",Reduced,2023-10-09,,2023-10-19,"Pinner, Middlesex"
137161814,5,"George V Avenue, Pinner",850000,5,Semi-Detached,https://www.rightmove.co.uk/properties/137161814#/?channel=RES_BUY,Andrew-Pearce,Removed,2023-10-20,,2023-10-20,"Pinner, Middlesex"
137164250,1,"Shelley Close, Northwood, Hertfordshire",1500000,4,Detached,https://www.rightmove.co.uk/properties/137164250#/?channel=RES_BUY,"Gibbs Gillespie, Northwood Sales",Initial entry,2023-07-10,,2023-10-21,"Pinner, Middlesex"
137164250,2,"Shelley Close, Northwood, Hertfordshire",1395000,4,Detached,https://www.rightmove.co.uk/properties/137164250#/?channel=RES_BUY,"Gibbs Gillespie, Northwood Sales",Reduced,2023-08-03,,2023-10-21,"Pinner, Middlesex"
137167775,1,"Park Lane, Wallington, SM6",700000,4,Detached,https://www.rightmove.co.uk/properties/137167775#/?channel=RES_BUY,"Rosindale Pavitt, Wallington",Initial entry,2023-07-10,,2023-10-21,"Sutton, Surrey"
137169734,1,"Osier Way, Banstead",900000,4,Detached,https://www.rightmove.co.uk/properties/137169734#/?channel=RES_BUY,"The Personal Agent, Banstead",Initial entry,2023-07-10,,2023-10-21,"Sutton, Surrey"
137169734,2,"Osier Way, Banstead",900000,4,Detached,https://www.rightmove.co.uk/properties/137169734#/?channel=RES_BUY,"The Personal Agent, Banstead",SOLD STC,2023-10-21,,2023-10-21,"Sutton, Surrey"
